scenario_mode,n,mae,rmse,bias,tir_true,tir_predicted,tir_gap,coverage,coverage80,interval_coverage80,p90_abs_error,p95_abs_error,p99_abs_error
activity_proxy,1861356,10.07181057411664,16.020892794667034,-1.159065950555208,0.8858697637636218,0.9017877289459942,0.01591796518237243,0.7923422494138682,0.7923422494138682,0.7923422494138682,24.42082977294922,34.16105651855469,59.90035476684564
factual_future,1861356,10.07174597222021,16.020993970189163,-1.1612615756556057,0.8858697637636218,0.9017904151597008,0.01592065139607901,0.7924308944661849,0.7924308944661849,0.7924308944661849,24.420623779296875,34.16237258911133,59.901387786865214
forecast_only,1861356,10.071748047694932,16.021339656870992,-1.1634634712488139,0.8858697637636218,0.9018038462282336,0.01593408246461181,0.7924201496113586,0.7924201496113586,0.7924201496113586,24.422042846679688,34.16447448730469,59.90721244812002
meal_proxy,1861356,10.071789438534193,16.021494254954952,-1.1644430998160755,0.8858697637636218,0.9018065324419402,0.01593676867831839,0.7925179277902776,0.7925179277902776,0.7925179277902776,24.422378540039062,34.16573715209961,59.90922546386716
sleep_rest_proxy,1861356,10.071679143987268,16.020963282910127,-1.1622264245386447,0.8858697637636218,0.9017995482863032,0.015929784522681345,0.7924298199807023,0.7924298199807023,0.7924298199807023,24.421031951904297,34.16448402404785,59.90548324584954
