scope,horizon_step,horizon_minutes,event,rule,n,tp,tn,fp,fn,prevalence,precision,ppv,recall,sensitivity,specificity,f1,npv
horizon,8,40,hyperglycemia,median_q50_gt_180,155113,12320,136081,1971,4741,0.10999078091455906,0.862081030018893,0.862081030018893,0.7221147646679562,0.7221147646679562,0.9857227711297193,0.785914774177086,0.9663333854085299
horizon,9,45,hyperglycemia,median_q50_gt_180,155113,11937,136024,2038,5114,0.10992631178560147,0.8541681574239713,0.8541681574239713,0.7000762418626474,0.7000762418626474,0.9852385160290305,0.769483658866757,0.9637659595573127
horizon,10,50,hyperglycemia,median_q50_gt_180,155113,11552,136016,2097,5448,0.10959751922791772,0.8463623708696608,0.8463623708696608,0.6795294117647059,0.6795294117647059,0.984816780462375,0.7538255734281707,0.9614884352202681
horizon,11,55,hyperglycemia,median_q50_gt_180,155113,11208,135929,2139,5837,0.1098876303082269,0.8397392672510676,0.8397392672510676,0.6575535347609269,0.6575535347609269,0.9845076339195179,0.7375625164516979,0.9588265169363599
horizon,12,60,hyperglycemia,median_q50_gt_180,155113,10947,135883,2191,6092,0.10984894883085235,0.8332318465519866,0.8332318465519866,0.6424672809437173,0.6424672809437173,0.9841316974955459,0.7255194353315438,0.9570910371544286
overall,0,0,hyperglycemia,risk_q90_gt_180,1861356,191252,1534566,122239,13299,0.10989353997838135,0.6100717404965373,0.6100717404965373,0.9349844293110275,0.9349844293110275,0.9262200440003501,0.7383648430050073,0.9914081654407846
horizon,1,5,hyperglycemia,risk_q90_gt_180,155113,16930,135490,2593,100,0.10979092661479051,0.8671822978025918,0.8671822978025918,0.994128009395185,0.994128009395185,0.9812214392792741,0.9263261565398189,0.999262482483959
horizon,2,10,hyperglycemia,risk_q90_gt_180,155113,16840,133575,4461,237,0.11009393152089123,0.7905732125252336,0.7905732125252336,0.986121684136558,0.986121684136558,0.9676823437364166,0.8775861170462245,0.99822885839835
horizon,3,15,hyperglycemia,risk_q90_gt_180,155113,16617,131782,6261,453,0.1100488031306209,0.7263309729871492,0.7263309729871492,0.9734622144112478,0.9734622144112478,0.9546445672725166,0.8319315109642536,0.9965742806367451
horizon,4,20,hyperglycemia,risk_q90_gt_180,155113,16354,130429,7658,672,0.10976513896320747,0.6810761286023654,0.6810761286023654,0.9605309526606367,0.9605309526606367,0.9445422088972893,0.7970173985086993,0.9948741809749735
horizon,5,25,hyperglycemia,risk_q90_gt_180,155113,16172,129161,8875,905,0.11009393152089123,0.6456661476424322,0.6456661476424322,0.9470047432218773,0.9470047432218773,0.9357051783592686,0.7678283163992025,0.9930419940645518
horizon,6,30,hyperglycemia,risk_q90_gt_180,155113,15951,128025,10024,1113,0.11001012165324635,0.6140904716073148,0.6140904716073148,0.934774964838256,0.934774964838256,0.9273881013263406,0.7412346941146402,0.991381313013985
horizon,7,35,hyperglycemia,risk_q90_gt_180,155113,15735,126840,11262,1276,0.10966843526977108,0.5828425380597844,0.5828425380597844,0.9249897125389454,0.9249897125389454,0.918451579267498,0.7150972550445372,0.9900402759998751
horizon,8,40,hyperglycemia,risk_q90_gt_180,155113,15598,125818,12234,1463,0.10999078091455906,0.5604340327680368,0.5604340327680368,0.9142488716956803,0.9142488716956803,0.9113812186712253,0.6948967545051568,0.9885057471264368
horizon,9,45,hyperglycemia,risk_q90_gt_180,155113,15462,124797,13265,1589,0.10992631178560147,0.5382392870818394,0.5382392870818394,0.906808984810275,0.906808984810275,0.9039199779809072,0.6755209926165407,0.9874274049340908
horizon,10,50,hyperglycemia,risk_q90_gt_180,155113,15277,123844,14269,1723,0.10959751922791772,0.5170581466188316,0.5170581466188316,0.8986470588235295,0.8986470588235295,0.8966860469325841,0.6564259012589697,0.9862782418947653
horizon,11,55,hyperglycemia,risk_q90_gt_180,155113,15195,122858,15210,1850,0.1098876303082269,0.4997533300444006,0.4997533300444006,0.8914637723672632,0.8914637723672632,0.8898368919662775,0.640463645943098,0.9851653462488373
horizon,12,60,hyperglycemia,risk_q90_gt_180,155113,15121,121947,16127,1918,0.10984894883085235,0.4839029697900666,0.4839029697900666,0.8874347086096602,0.8874347086096602,0.8832003128757043,0.6262969329219045,0.9845153998304605
