warmup_hours,n,mae,rmse,bias,tir_true,tir_predicted,tir_gap,coverage,coverage80,interval_coverage80,p90_abs_error,p95_abs_error,p99_abs_error
0.0,9306780,10.071754635310649,16.021136793659732,-1.1620921043628696,0.8858697637636218,0.9017976142124344,0.01592785044881262,0.7924282082524783,0.7924282082524783,0.7924282082524783,24.421495056152352,34.16345252990722,59.90484695434563
6.0,8758200,10.060874543511552,16.0223249320601,-1.241822465432433,0.8860039734191957,0.9019421798999795,0.015938206480783812,0.7926285081409422,0.7926285081409422,0.7926285081409422,24.398491668701176,34.13148574829101,59.922601394653285
12.0,8209560,10.01828571078679,15.957104581893681,-1.2832898900671037,0.8853269846374228,0.9011672976383631,0.015840313000940354,0.7931392181797806,0.7931392181797806,0.7931392181797806,24.33202590942384,34.05974121093749,59.68368675231963
24.0,7112280,9.895712998447207,15.813648143389289,-1.4024977376561636,0.8858136912495008,0.901649681958528,0.015835990709027192,0.7939850512072079,0.7939850512072079,0.7939850512072079,24.066790771484392,33.752016067504876,59.34711166381835
48.0,4917720,9.762094382179823,15.686689408742813,-1.5648403555328607,0.8852933879928097,0.900786746703757,0.01549335871094737,0.7949838543064672,0.7949838543064672,0.7949838543064672,23.75070343017579,33.43711204528808,59.10997200012199
