subgroup,level,n,mae,rmse,bias,tir_true,tir_predicted,tir_gap,coverage,coverage80,interval_coverage80,p90_abs_error,p95_abs_error,p99_abs_error
participants_study_group,healthy,3363600,8.843414187311687,13.899882388231163,-0.7727814537467508,0.9806784397669164,0.9928977880841955,0.01221934831727911,0.7936267689380426,0.7936267689380426,0.7936267689380426,21.460241699218756,29.894139862060527,51.59585716247555
participants_study_group,insulin_dependent,959760,12.573193656765262,19.94378485111844,-0.828143386057022,0.6504490706009836,0.665193381678753,0.014744311077769412,0.7752604817871135,0.7752604817871135,0.7752604817871135,30.431430053710937,42.14477500915524,74.2153713989259
participants_study_group,oral_medication_and_or_non_insulin_injectable_medication_controlled,2643300,11.21802887609425,17.63306631299342,-1.8318844285150375,0.7844720614383536,0.8056803995006242,0.021208338062270626,0.7977932886921651,0.7977932886921651,0.7977932886921651,26.91527557373047,37.52016410827634,65.61658508300764
participants_study_group,pre_diabetes_lifestyle_controlled,2340120,9.516619905038155,15.125120420238458,-1.1020669243986676,0.9606836401552057,0.9764627455002307,0.015779105345025024,0.7916863237782678,0.7916863237782678,0.7916863237782678,23.17863006591797,32.39647979736327,56.75613029479983
HbA1c_quartile,"(3.799, 5.4]",2469720,8.709142762737368,13.75080724841383,-0.9123345915342103,0.976246295126573,0.98739087831819,0.01114458319161693,0.7908013863919796,0.7908013863919796,0.7908013863919796,21.000045776367188,29.464883804321254,51.66557609558106
HbA1c_quartile,"(5.4, 5.8]",2611080,9.024568993448781,14.266927521104162,-0.7029195831835061,0.9750773626238951,0.9887724619697597,0.013695099345864548,0.7994718660477657,0.7994718660477657,0.7994718660477657,21.91497802734375,30.48264465332028,53.42468017578125
HbA1c_quartile,"(5.8, 6.3]",1851360,10.136417227446204,15.838100831741055,-1.2350236935414025,0.9312208322530464,0.9523539452078472,0.021133112954800803,0.7928144715236367,0.7928144715236367,0.7928144715236367,24.56753845214844,33.92091445922851,57.83105270385741
HbA1c_quartile,"(6.3, 12.5]",2225220,12.700557916612967,19.973369099754752,-1.9310208537605347,0.6449744294946118,0.6647032652951169,0.019728835800505107,0.7872147473058844,0.7872147473058844,0.7872147473058844,30.68812408447267,42.593043136596584,74.46828414917007
HbA1c_quartile,,149400,10.943079303909975,16.001005925256116,-0.9593414518057581,0.8587684069611781,0.8716733601070951,0.012904953145916997,0.7690829986613119,0.7690829986613119,0.7690829986613119,25.45923767089844,33.75933990478513,52.45656951904302
BMI_quartile,"(18.304, 25.591]",2346900,10.091856713172874,16.728823196131536,-1.6438042599343488,0.8712386552473476,0.8861515190250969,0.014912863777749363,0.79182325621032,0.79182325621032,0.79182325621032,24.624782562255863,35.67468338012695,65.82110206603996
BMI_quartile,"(25.591, 28.956]",2314200,9.516082531128971,15.218728406323724,-0.5914967023750419,0.9052912453547662,0.918073632356754,0.01278238700198775,0.7929176389248984,0.7929176389248984,0.7929176389248984,22.8786491394043,31.96697082519529,56.927707748413
BMI_quartile,"(28.956, 33.398]",2361840,10.66411915693253,16.627283093772878,-1.1071278500903392,0.8947663685939776,0.9134272431663449,0.018660874572367314,0.7848977915523491,0.7848977915523491,0.7848977915523491,25.92365112304688,35.516914367675696,60.536657257080044
BMI_quartile,"(33.398, 95.237]",2283840,10.001560836802415,15.420601213320452,-1.302101209939687,0.8720247477931904,0.8893565223483256,0.017331774555135238,0.8003415300546448,0.8003415300546448,0.8003415300546448,24.11861572265625,33.39263534545894,56.23888771057128
participants_clinical_site,UAB,3539760,10.642069154755934,17.062779070044986,-1.1589856164006618,0.8613041562139806,0.8797975003955071,0.018493344181526483,0.7929370917802336,0.7929370917802336,0.7929370917802336,25.78973617553711,36.23357696533199,64.32076705932622
participants_clinical_site,UCSD,2230680,9.541027821088287,15.032174266183103,-1.0237149996915436,0.9054907023867161,0.9170813384259509,0.011590636039234714,0.7958357989491993,0.7958357989491993,0.7958357989491993,23.072441101074226,31.997786331176734,55.65691886901855
participants_clinical_site,UW,3536340,9.835664544029237,15.541999129581907,-1.2524881810063309,0.8980824807569407,0.9141782181577564,0.016095737400815602,0.7897693660677424,0.7897693660677424,0.7897693660677424,23.882958221435548,33.411438369750975,57.943854598998996
med_insulin,0,8586180,9.83055586052368,15.58237209287356,-1.2168530438201777,0.9056256682249848,0.9219848640489717,0.016359195823986927,0.7942863997726579,0.7942863997726579,0.7942863997726579,23.834444427490247,33.31721649169921,58.26369674682613
med_insulin,1,720600,12.945715357070826,20.540220687424338,-0.509597956223055,0.6504718290313628,0.6612600610602276,0.010788232028864808,0.7702872606161532,0.7702872606161532,0.7702872606161532,31.127943420410155,43.132004547119074,76.95033355712894
med_any_diabetes_drug,0,5530740,9.12154892983961,14.421084968555544,-0.8192499366049864,0.9701992861714708,0.984060541627341,0.013861255455870247,0.7917195528988887,0.7917195528988887,0.7917195528988887,22.150025177001957,30.919617080688475,53.883132171631345
med_any_diabetes_drug,1,3776040,11.46351444280127,18.11134334795459,-1.664250686079492,0.76235288821093,0.7813076662323493,0.018954778021419316,0.7934661709092065,0.7934661709092065,0.7934661709092065,27.616245269775394,38.486970520019526,67.28956909179684
