scenario_variable,n_anchors,n_anchor_horizon_values,mask_mean,mask_nonzero_pct,value_mean,value_std,value_min,value_max,anchors_with_scenario_available,anchor_available_pct
predmeal_flag,155113,1861356,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
heart_rate_mean,155113,1861356,0.9999897923879151,0.9999897923879151,0.08716086688465419,1.006547454378725,-2.979832410812378,7.068480491638184,155113,1.0
activity_steps_per_min,155113,1861356,1.0,1.0,0.015297453749834497,1.0397155686602193,-0.46689149737358093,15.099547386169434,155113,1.0
stress_level_mean,155113,1861356,0.89151833394579,0.89151833394579,0.06477814711032216,0.99768324769936,-1.9517929553985596,1.7903187274932861,154104,0.9934950648881783
sleep_stage_awake,155113,1861356,0.34371769828017856,0.34371769828017856,0.02515682204481178,1.0375405227575019,-0.305837482213974,3.477512836456299,59318,0.3824179791506837
sleep_stage_light,155113,1861356,0.34371769828017856,0.34371769828017856,-0.009064442843367116,0.9897725066122941,-0.4037400484085083,2.7535414695739746,59318,0.3824179791506837
sleep_stage_deep,155113,1861356,0.34371769828017856,0.34371769828017856,0.006286823453704685,1.0114167549271509,-0.2785069942474365,3.8402411937713623,59318,0.3824179791506837
sleep_stage_rem,155113,1861356,0.34371769828017856,0.34371769828017856,-0.015351491625927418,0.9726051488144957,-0.26571837067604065,4.009041786193848,59318,0.3824179791506837
activity_stage_sedentary,155113,1861356,0.9999957020580695,0.9999957020580695,-0.01297877801755453,1.0237813221292578,-2.758435010910034,0.555957555770874,155113,1.0
